"sigma_y","U_p","U_0","Delta_U"
5000,748268.359596059,421713.900854878,326554.458741181
5500,807200.99099077,446343.504014305,360857.486976465
6000,866000.089230997,471626.877615868,394373.211615129
6500,924664.413656386,497425.029125978,427239.384530408
7000,983200.742876671,523635.039664718,459565.703211953
7500,1041619.13227427,550179.29319379,491439.839080485
8000,1099930.5551997,576998.270456549,522932.284743148
8500,1158145.76141854,604045.633476599,554100.12794194
9000,1216274.76130832,631284.808484536,584989.952823786
9500,1274326.63089732,658686.567536164,615640.063361156
10000,1332309.47854817,686227.288049746,646082.190498423
10500,1390230.48955281,713887.680634434,676342.808918371
11000,1448096.00460959,741651.845771622,706444.158837963
11500,1505911.60929677,769506.565010091,736405.044286675
12000,1563682.2229983,797440.761812696,766241.4611856
