"rho","U_p","U_0","Delta_U","S_0"
0.1,766189.328428444,523635.039664718,242554.288763726,0.662818659669327
0.15,808287.770401167,523635.039664718,284652.730736449,0.662818659669327
0.2,850891.263383832,523635.039664718,327256.223719114,0.662818659669327
0.25,894136.345602638,523635.039664718,370501.30593792,0.662818659669327
0.3,938179.170257705,523635.039664718,414544.130592987,0.662818659669327
0.35,983200.742876671,523635.039664718,459565.703211953,0.662818659669327
0.4,1029413.35701485,523635.039664718,505778.317350134,0.662818659669327
0.45,1077068.45261676,523635.039664718,553433.412952042,0.662818659669327
0.5,1126465.99327152,523635.039664718,602830.9536068,0.662818659669327
0.55,1177965.04534525,523635.039664718,654330.005680536,0.662818659669327
0.6,1231994.13577106,523635.039664718,708359.09610634,0.662818659669327
0.65,1289057.216482,523635.039664718,765422.176817281,0.662818659669327
0.7,1349724.51258339,523635.039664718,826089.472918669,0.662818659669327
0.75,1414582.62751676,523635.039664718,890947.587852045,0.662818659669327
0.8,1484087.82987115,523635.039664718,960452.790206428,0.662818659669327
