"","Accountability","Collaboration","Courage","Drive","Humanity","Humility","Integrity","Judgment","Justice","Temperance","Transcendence","Performance"
"Accountability",1,0.58,0.79,0.76,0.48,0.68,0.75,0.79,0.65,0.36,0.65,0.28
"Collaboration",0.58,1,0.42,0.53,0.87,0.86,0.71,0.5,0.81,0.64,0.55,0.23
"Courage",0.79,0.42,1,0.77,0.32,0.51,0.62,0.75,0.5,0.24,0.65,0.17
"Drive",0.76,0.53,0.77,1,0.4,0.59,0.64,0.68,0.59,0.4,0.66,0.35
"Humanity",0.48,0.87,0.32,0.4,1,0.89,0.69,0.45,0.82,0.67,0.49,0.23
"Humility",0.68,0.86,0.51,0.59,0.89,1,0.8,0.62,0.86,0.69,0.66,0.31
"Integrity",0.75,0.71,0.62,0.64,0.69,0.8,1,0.66,0.83,0.54,0.67,0.24
"Judgment",0.79,0.5,0.75,0.68,0.45,0.62,0.66,1,0.63,0.44,0.71,0.28
"Justice",0.65,0.81,0.5,0.59,0.82,0.86,0.83,0.63,1,0.65,0.64,0.23
"Temperance",0.36,0.64,0.24,0.4,0.67,0.69,0.54,0.44,0.65,1,0.46,0.21
"Transcendence",0.65,0.55,0.65,0.66,0.49,0.66,0.67,0.71,0.64,0.46,1,0.18
"Performance",0.28,0.23,0.17,0.35,0.23,0.31,0.24,0.28,0.23,0.21,0.18,1
